PS C:\Users\Rendszergazda> get-WindowsFeature 

Display Name                                            Name                       Install State
------------                                            ----                       -------------
[ ] A Windows Server Essentials felhasználói felülete   ServerEssentialsRole           Available
[ ] Active Directory Lightweight Directory-szolgálta... ADLDS                          Available
[ ] Active Directory összevonási szolgáltatások         ADFS-Federation                Available
[ ] Active Directory tanúsítványszolgáltatások          AD-Certificate                 Available
    [ ] Hitelesítésszolgáltató                          ADCS-Cert-Authority            Available
    [ ] Hálózati eszközök tanúsítványigénylési szolg... ADCS-Device-Enrollment         Available
    [ ] Online válaszadó                                ADCS-Online-Cert               Available
    [ ] Tanúsítványigénylési szabályzat webszolgálta... ADCS-Enroll-Web-Pol            Available
    [ ] Tanúsítványigénylési webszolgáltatás            ADCS-Enroll-Web-Svc            Available
    [ ] Webes hitelesítésszolgáltatói igénylés          ADCS-Web-Enrollment            Available
[ ] Active Directory tartalomvédelmi szolgáltatások     ADRMS                          Available
    [ ] Active Directory tartalomvédelmi szolgáltatások ADRMS-Server                   Available
    [ ] Identitás-összevonás támogatása                 ADRMS-Identity                 Available
[ ] Active Directory tartományi szolgáltatások          AD-Domain-Services             Available
[ ] Alkalmazáskiszolgáló                                Application-Server             Available
    [ ] .NET-keretrendszer 4.5                          AS-NET-Framework               Available
    [ ] COM+ hálózati hozzáférés                        AS-Ent-Services                Available
    [ ] Elosztott tranzakciók                           AS-Dist-Transaction            Available
        [ ] Webszolgáltatások atomi tranzakciói         AS-WS-Atomic                   Available
        [ ] Bejövő hálózati tranzakciók                 AS-Incoming-Trans              Available
        [ ] Kimenő hálózati tranzakciók                 AS-Outgoing-Trans              Available
    [ ] TCP-port megosztása                             AS-TCP-Port-Sharing            Available
    [ ] Webkiszolgáló (IIS) támogatása                  AS-Web-Support                 Available
    [ ] Windows folyamataktivációs szolgáltatás támo... AS-WAS-Support                 Available
        [ ] Aktiválás Message Queuing szolgáltatáson... AS-MSMQ-Activation             Available
        [ ] Aktiválás nevesített csöveken keresztül     AS-Named-Pipes                 Available
        [ ] HTTP-aktiválás                              AS-HTTP-Activation             Available
        [ ] TCP-aktiválás                               AS-TCP-Activation              Available
[ ] DHCP-kiszolgáló                                     DHCP                           Available
[ ] DNS-kiszolgáló                                      DNS                            Available
[X] Fájl- és tárolási szolgáltatások                    FileAndStorage-Services        Installed
    [ ] Fájl- és iSCSI-szolgáltatások                   File-Services                  Available
        [ ] Fájlkiszolgáló                              FS-FileServer                  Available
        [ ] Adatok deduplikációja                       FS-Data-Deduplication          Available
        [ ] BranchCache hálózati fájlokhoz              FS-BranchCache                 Available
        [ ] Elosztott fájlrendszer replikációs szolg... FS-DFS-Replication             Available
        [ ] Elosztott fájlrendszerbeli névterek         FS-DFS-Namespace               Available
        [ ] Fájlkiszolgáló VSS ügynökszolgáltatása      FS-VSS-Agent                   Available
        [ ] Fájlkiszolgálói erőforrás-kezelő            FS-Resource-Manager            Available
        [ ] iSCSI-tároló társzolgáltatója (VDS- és V... iSCSITarget-VSS-VDS            Available
        [ ] iSCSI-tárolókiszolgáló                      FS-iSCSITarget-Server          Available
        [ ] Munkahelyi mappák                           FS-SyncShareService            Available
        [ ] NFS-kiszolgálószolgáltatás                  FS-NFS-Service                 Available
    [X] Tárolási szolgáltatások                         Storage-Services               Installed
[ ] Faxkiszolgáló                                       Fax                            Available
[ ] Hálózati házirend- és elérési szolgáltatások        NPAS                           Available
    [ ] Hálózati házirend-kiszolgáló                    NPAS-Policy-Server             Available
    [ ] Állapotjegyző                                   NPAS-Health                    Available
    [ ] HCAP protokoll                                  NPAS-Host-Cred                 Available
[ ] Hyper-V                                             Hyper-V                        Available
[ ] Központi Windows-telepítési szolgáltatások          WDS                            Available
    [ ] Központi telepítési kiszolgáló                  WDS-Deployment                 Available
    [ ] Továbbítókiszolgáló                             WDS-Transport                  Available
[ ] Mennyiségi aktiválási szolgáltatások                VolumeActivation               Available
[ ] Nyomtató- és dokumentumszolgáltatások               Print-Services                 Available
    [ ] Nyomtatókiszolgáló                              Print-Server                   Available
    [ ] Elosztott beolvasási kiszolgáló                 Print-Scan-Server              Available
    [ ] Internetes nyomtatás                            Print-Internet                 Available
    [ ] LPD szolgáltatás                                Print-LPD-Service              Available
[ ] Távelérés                                           RemoteAccess                   Available
    [ ] DirectAccess és VPN (RAS)                       DirectAccess-VPN               Available
    [ ] Útválasztás                                     Routing                        Available
    [ ] Webalkalmazás-proxy                             Web-Application-Proxy          Available
[ ] Távoli asztali szolgáltatások                       Remote-Desktop-Services        Available
    [ ] Távoli asztali átjáró                           RDS-Gateway                    Available
    [ ] Távoli asztali kapcsolatszervező                RDS-Connection-Broker          Available
    [ ] Távoli asztali licencelés                       RDS-Licensing                  Available
    [ ] Távoli asztali munkamenetgazda                  RDS-RD-Server                  Available
    [ ] Távoli asztali virtualizálási kiszolgáló        RDS-Virtualization             Available
    [ ] Távoli asztali webes elérés                     RDS-Web-Access                 Available
[ ] Webkiszolgáló (IIS)                                 Web-Server                     Available
    [ ] Webkiszolgáló                                   Web-WebServer                  Available
        [ ] Állapot és diagnosztika                     Web-Health                     Available
            [ ] HTTP-naplózás                           Web-Http-Logging               Available
            [ ] Egyéni naplózás                         Web-Custom-Logging             Available
            [ ] Kérelemfigyelő                          Web-Request-Monitor            Available
            [ ] Naplózási eszközök                      Web-Log-Libraries              Available
            [ ] Nyomkövetés                             Web-Http-Tracing               Available
            [ ] ODBC-naplózás                           Web-ODBC-Logging               Available
        [ ] Általános HTTP-szolgáltatások               Web-Common-Http                Available
            [ ] Alapértelmezett dokumentum              Web-Default-Doc                Available
            [ ] HTTP-hibák                              Web-Http-Errors                Available
            [ ] Könyvtár tallózása                      Web-Dir-Browsing               Available
            [ ] Statikus tartalom                       Web-Static-Content             Available
            [ ] HTTP-átirányítás                        Web-Http-Redirect              Available
            [ ] WebDAV-közzététel                       Web-DAV-Publishing             Available
        [ ] Biztonság                                   Web-Security                   Available
            [ ] Kérelmek szűrése                        Web-Filtering                  Available
            [ ] Egyszerű hitelesítés                    Web-Basic-Auth                 Available
            [ ] IIS ügyféltanúsítvány-hozzárendelése... Web-Cert-Auth                  Available
            [ ] IP-cím és tartomány korlátozása         Web-IP-Security                Available
            [ ] Kivonatoló hitelesítés                  Web-Digest-Auth                Available
            [ ] SSL-tanúsítványok központosított tám... Web-CertProvider               Available
            [ ] URL engedélyezése                       Web-Url-Auth                   Available
            [ ] Ügyféltanúsítvány-hozzárendeléses hi... Web-Client-Auth                Available
            [ ] Windows-hitelesítés                     Web-Windows-Auth               Available
        [ ] Teljesítmény                                Web-Performance                Available
            [ ] Statikus tartalom tömörítése            Web-Stat-Compression           Available
            [ ] Dinamikus tartalom tömörítése           Web-Dyn-Compression            Available
        [ ] Alkalmazásfejlesztés                        Web-App-Dev                    Available
            [ ] .NET-kiterjeszthetőség 3.5              Web-Net-Ext                    Available
            [ ] .NET-kiterjeszthetőség 4.5              Web-Net-Ext45                  Available
            [ ] Alkalmazásinicializálás                 Web-AppInit                    Available
            [ ] ASP                                     Web-ASP                        Available
            [ ] ASP.NET 3.5                             Web-Asp-Net                    Available
            [ ] ASP.NET 4.5                             Web-Asp-Net45                  Available
            [ ] CGI                                     Web-CGI                        Available
            [ ] ISAPI-bővítmények                       Web-ISAPI-Ext                  Available
            [ ] ISAPI-szűrők                            Web-ISAPI-Filter               Available
            [ ] Kiszolgálóoldali beágyazás              Web-Includes                   Available
            [ ] WebSocket protokoll                     Web-WebSockets                 Available
    [ ] FTP-kiszolgáló                                  Web-Ftp-Server                 Available
        [ ] FTP szolgáltatás                            Web-Ftp-Service                Available
        [ ] FTP-kiterjeszthetőség                       Web-Ftp-Ext                    Available
    [ ] Kezelőeszközök                                  Web-Mgmt-Tools                 Available
        [ ] IIS-kezelő konzol                           Web-Mgmt-Console               Available
        [ ] IIS 6 kompatibilitási üzemmód               Web-Mgmt-Compat                Available
            [ ] Kompatibilitás az IIS 6 metabázisával   Web-Metabase                   Available
            [ ] IIS 6 parancsprogram-kezelő eszközök    Web-Lgcy-Scripting             Available
            [ ] IIS 6 WMI kompatibilitási mód           Web-WMI                        Available
            [ ] IIS 6-kezelő konzol                     Web-Lgcy-Mgmt-Console          Available
        [ ] IIS-kezelési parancsprogramok és eszközök   Web-Scripting-Tools            Available
        [ ] Kezelési szolgáltatás                       Web-Mgmt-Service               Available
[ ] Windows Server Update Services                      UpdateServices                 Available
    [ ] A Windows belső adatbázisának adatbázisa        UpdateServices-WidDB           Available
    [ ] A WSUS szolgáltatásai                           UpdateServices-Services        Available
    [ ] Adatbázis                                       UpdateServices-DB              Available
